instance,dataset,min,avg,method
frb56-25-4,bhoslib,22,23.2,ILPS2
frb56-25-4,bhoslib,23,23.7,ILPS3
frb56-25-4,bhoslib,21,22.4,MAE-PB
frb56-25-5,bhoslib,22,22.4,GRASP+PC
frb56-25-5,bhoslib,22,22.8,MEMETIC
frb56-25-5,bhoslib,22,22.3,drMIDS
frb56-25-5,bhoslib,22,22.8,ILPS2
frb56-25-5,bhoslib,22,23.3,ILPS3
frb56-25-5,bhoslib,21,21.9,MAE-PB
frb59-26-1,bhoslib,24,24.1,GRASP+PC
frb59-26-1,bhoslib,24,25.4,MEMETIC
frb59-26-1,bhoslib,23,23.6,drMIDS
frb59-26-1,bhoslib,23,24.4,ILPS2
frb59-26-1,bhoslib,23,24.6,ILPS3
frb59-26-1,bhoslib,22,23,MAE-PB
frb59-26-2,bhoslib,24,24.2,GRASP+PC
frb59-26-2,bhoslib,24,25.6,MEMETIC
frb59-26-2,bhoslib,23,23.9,drMIDS
frb59-26-2,bhoslib,22,24,ILPS2
frb59-26-2,bhoslib,23,24.6,ILPS3
frb59-26-2,bhoslib,23,23.2,MAE-PB
frb59-26-3,bhoslib,24,24.7,GRASP+PC
frb59-26-3,bhoslib,25,25.9,MEMETIC
frb59-26-3,bhoslib,23,23.7,drMIDS
frb59-26-3,bhoslib,24,24.7,ILPS2
frb59-26-3,bhoslib,23,25,ILPS3
frb59-26-3,bhoslib,23,23.8,MAE-PB
frb59-26-4,bhoslib,24,24.4,GRASP+PC
frb59-26-4,bhoslib,24,25.6,MEMETIC
frb59-26-4,bhoslib,23,23.9,drMIDS
frb59-26-4,bhoslib,24,24.4,ILPS2
frb59-26-4,bhoslib,24,24.8,ILPS3
frb59-26-4,bhoslib,23,23.6,MAE-PB
frb59-26-5,bhoslib,25,25.4,GRASP+PC
frb59-26-5,bhoslib,25,25.8,MEMETIC
frb59-26-5,bhoslib,24,24.2,drMIDS
frb59-26-5,bhoslib23,24.3,ILPS2
frb59-26-5,bhoslib,24,24.7,ILPS3
frb59-26-5,bhoslib,23,23.8,MAE-PB
frb100-40,bhoslib,44,44.8,GRASP+PC
frb100-40,bhoslib,48,49.5,MEMETIC
frb100-40,bhoslib,43,44.4,drMIDS
frb100-40,bhoslib,43,44.5,ILPS2
frb100-40,bhoslib,43,45.3,ILPS3
frb100-40,bhoslib,42,43.4,MAE-PB
bn-human-BNU_1_0025865_session_1-bg,massive,1198908,1199212.7,GRASP+PC
bn-human-BNU_1_0025865_session_1-bg,massive,1205376,1206233.1,MEMETIC
bn-human-BNU_1_0025865_session_1-bg,massive,1197891,1200437.9,drMIDS
bn-human-BNU_1_0025865_session_1-bg,massive,1197011,1197168.4,ILPS2
bn-human-BNU_1_0025865_session_1-bg,massive,1197398,1197555.9,ILPS3
bn-human-BNU_1_0025865_session_1-bg,massive,1194499,1196200,MAE-PB
bn-human-BNU_1_0025865_session_2-bg,massive,1561094,1561624.3,GRASP+PC
bn-human-BNU_1_0025865_session_2-bg,massive,1575465,1577527.3,MEMETIC
bn-human-BNU_1_0025865_session_2-bg,massive,1563155,1570989.5,drMIDS
bn-human-BNU_1_0025865_session_2-bg,massive,1559833,1559866.6,ILPS2
bn-human-BNU_1_0025865_session_2-bg,massive,1559492,1559696.1,ILPS3
bn-human-BNU_1_0025865_session_2-bg,massive,1556455,1558023.6,MAE-PB
ca-coauthors-dblp,massive,49186,49250.3,GRASP+PC
ca-coauthors-dblp,massive,52386,52494.1,MEMETIC
ca-coauthors-dblp,massive,44363,44989.5,drMIDS
ca-coauthors-dblp,massive,44253,44288.9,ILPS2
ca-coauthors-dblp,massive,44750,44772.2,ILPS3
ca-coauthors-dblp,massive,43035,44088.8,MAE-PB
ca-dblp-2012,massive,94758,94938.6,GRASP+PC
ca-dblp-2012,massive,110109,110325.1,MEMETIC
ca-dblp-2012,massive,87656,87812.8,drMIDS
ca-dblp-2012,massive,87598,87689.9,ILPS2
ca-dblp-2012,massive,110057,110196.5,ILPS3
ca-dblp-2012,massive,87508,87698.1,MAE-PB
ca-hollywood-2009,massive,140801,141065.7,GRASP+PC
ca-hollywood-2009,massive,155263,155549.6,MEMETIC
ca-hollywood-2009,massive,143519,146696.6,drMIDS
ca-hollywood-2009,massive,152861,153152.9,ILPS2
ca-hollywood-2009,massive,178556,178981.5,ILPS3
ca-hollywood-2009,massive,128137,128290.1,MAE-PB
channel-500x100x100-b050,massive,486263,486449.8,GRASP+PC
channel-500x100x100-b050,massive,491998,492225.5,MEMETIC
channel-500x100x100-b050,massive,489722,490215.8,drMIDS
channel-500x100x100-b050,massive,420666,420853.7,ILPS2
channel-500x100x100-b050,massive,566799,567380.7,ILPS3
channel-500x100x100-b050,massive,409978,410258.8,MAE-PB
dbpedia-link,massive,NA,NA,GRASP+PC
dbpedia-link,massive,8612327,8629696.2,MEMETIC
dbpedia-link,massive,8627747,8637426.5,drMIDS
dbpedia-link,massive,8908597,8911196.6,ILPS2
dbpedia-link,massive,NA,NA,ILPS3
dbpedia-link,massive,7533823,7535700.8,MAE-PB
delaunay_n22,massive,864130,864485.6,GRASP+PC
delaunay_n22,massive,868437,868881.7,MEMETIC
delaunay_n22,massive,865422,865856.5,drMIDS
delaunay_n22,massive,806316,806730.5,ILPS2
delaunay_n22,massive,1030255,1030610.1,ILPS3
delaunay_n22,massive,744805,745267.7,MAE-PB
delaunay_n23,massive,1728925,1729304.8,GRASP+PC
delaunay_n23,massive,1737228,1737950.7,MEMETIC
delaunay_n23,massive,1736327,1737009.7,drMIDS
delaunay_n23,massive,1613584,1613809.2,ILPS2
delaunay_n23,massive,2060811,2061390.1,ILPS3
delaunay_n23,massive,1489753,1490376.1,MAE-PB
delaunay_n24,massive,3458413,3459279.8,GRASP+PC
delaunay_n24,massive,3475398,3476268,MEMETIC
delaunay_n24,massive,3475650,3476635.9,drMIDS
delaunay_n24,massive,NA,NA,ILPS2
delaunay_n24,massive,NA,NA,ILPS3
delaunay_n24,massive,2979750,2980281.9,MAE-PB
friendster,massive,4473674,4493361.4,GRASP+PC
friendster,massive,6848800,6863274.8,MEMETIC
friendster,massive,6601967,6846328.6,drMIDS
friendster,massive,7183568,7191256.2,ILPS2
friendster,massive,7243029,7247583,ILPS3
friendster,massive,3547353,3548971.8,MAE-PB
hugebubbles-00020,massive,7800496,7801942.6,GRASP+PC
hugebubbles-00020,massive,7522388,7523370.2,MEMETIC
hugebubbles-00020,massive,7523382,7524471.3,drMIDS
hugebubbles-00020,massive,6952078,6952078,ILPS2
hugebubbles-00020,massive,NA,NA,ILPS3
hugebubbles-00020,massive,6800602,6801761.9,MAE-PB
hugetrace-00010,massive,4446308,4447087.9,GRASP+PC
hugetrace-00010,massive,4285018,4285538.9,MEMETIC
hugetrace-00010,massive,4284436,4285910.7,drMIDS
hugetrace-00010,massive,3962433,3963354.7,ILPS2
hugetrace-00010,massive,4687640,4688997.3,ILPS3
hugetrace-00010,massive,3875488,3876764.2,MAE-PB
hugetrace-00020,massive,5899134,5900269.8,GRASP+PC
hugetrace-00020,massive,5686663,5687271.6,MEMETIC
hugetrace-00020,massive,5686893,5687917.5,drMIDS
hugetrace-00020,massive,5256729,5257882.7,ILPS2
hugetrace-00020,massive,6218412,6219513.8,ILPS3
hugetrace-00020,massive,5142114,5143085.2,MAE-PB
inf-europe_osm,massive,20767515,20768636.8,GRASP+PC
inf-europe_osm,massive,NA,NA,MEMETIC
inf-europe_osm,massive,20052008,20053573.3,drMIDS
inf-europe_osm,massive,NA,NA,ILPS2
inf-europe_osm,massive,NA,NA,ILPS3
inf-europe_osm,massive,18314284,18315597.7,MAE-PB
inf-germany_osm,massive,4669787,4670887.1,GRASP+PC
inf-germany_osm,massive,4524573,4525242,MEMETIC
inf-germany_osm,massive,4523638,4525116.1,drMIDS
inf-germany_osm,massive,4310573,4311235.7,ILPS2
inf-germany_osm,massive,5053976,5054966.2,ILPS3
inf-germany_osm,massive,4134178,4134983.6,MAE-PB
inf-roadNet-CA,massive,740604,740878.9,GRASP+PC
inf-roadNet-CA,massive,732830,733158.5,MEMETIC
inf-roadNet-CA,massive,728927,729330.5,drMIDS
inf-roadNet-CA,massive,695837,696003.7,ILPS2
inf-roadNet-CA,massive,822287,822601.4,ILPS3
inf-roadNet-CA,massive,662664,662926.6,MAE-PB
inf-roadNet-PA,massive,412501,412731.3,GRASP+PC
inf-roadNet-PA,massive,408678,409058.2,MEMETIC
inf-roadNet-PA,massive,401804,402169.8,drMIDS
inf-roadNet-PA,massive,386994,387294.5,ILPS2
inf-roadNet-PA,massive,458039,458370.8,ILPS3
inf-roadNet-PA,massive,369370,369601.5,MAE-PB
inf-road-usa,massive,9547166,9548928.8,GRASP+PC
inf-road-usa,massive,9449606,9450335.3,MEMETIC
inf-road-usa,massive,9449603,9451604.6,drMIDS
inf-road-usa,massive,9125541,9126508.7,ILPS2
inf-road-usa,massive,10765734,10766635.9,ILPS3
inf-road-usa,massive,8610251,8611245.9,MAE-PB
rec-dating,massive,40149,41157.5,GRASP+PC
rec-dating,massive,51462,52377.3,MEMETIC
rec-dating,massive,48632,51806.4,drMIDS
rec-dating,massive,36744,36767,ILPS2
rec-dating,massive,36769,36790.8,ILPS3
rec-dating,massive,32671,33502.1,MAE-PB
rec-epinions,massive,320240,368998.1,GRASP+PC
rec-epinions,massive,5663900,564657.2,MEMETIC
rec-epinions,massive,NA,NA,drMIDS
rec-epinions,massive,595675,612617.7,ILPS2
rec-epinions,massive,602861,620295.4,ILPS3
rec-epinions,massive,134669,134715.3,MAE-PB
rec-libimseti-dir,massive,62046,66435.6,GRASP+PC
rec-libimseti-dir,massive,82520,85169.9,MEMETIC
rec-libimseti-dir,massive,79938,85061.2,drMIDS
rec-libimseti-dir,massive,63429,63495.9,ILPS2
rec-libimseti-dir,massive,63483,63483,ILPS3
rec-libimseti-dir,massive,50070,53154.7,MAE-PB
rgg_n_2_23_s0,massive,858105,858435.1,GRASP+PC
rgg_n_2_23_s0,massive,867425,867715.9,MEMETIC
rgg_n_2_23_s0,massive,865936,866444.8,drMIDS
rgg_n_2_23_s0,massive,736027,736356.3,ILPS2
rgg_n_2_23_s0,massive,954528,954785.4,ILPS3
rgg_n_2_23_s0,massive,704494,704696.2,MAE-PB
rgg_n_2_24_s0,massive,1656337,1656833.6,GRASP+PC
rgg_n_2_24_s0,massive,1674237,1674731.7,MEMETIC
rgg_n_2_24_s0,massive,1673505,1674445.7,drMIDS
rgg_n_2_24_s0,massive,NA,NA,ILPS2
rgg_n_2_24_s0,massive,1839520,1839520,ILPS3
rgg_n_2_24_s0,massive,1357335,1357670,MAE-PB
rt-retweet-crawl,massive,470537,475864.1,GRASP+PC
rt-retweet-crawl,massive,890477,893937.5,MEMETIC
rt-retweet-crawl,massive,531197,695539.5,drMIDS
rt-retweet-crawl,massive,971833,972959.2,ILPS2
rt-retweet-crawl,massive,965905,966947.8,ILPS3
rt-retweet-crawl,massive,469708,485375.2,MAE-PB
sc-ldoor,massive,68659,68718.7,GRASP+PC
sc-ldoor,massive,70073,70123.5,MEMETIC
sc-ldoor,massive,67557,68547.1,drMIDS
sc-ldoor,massive,68862,68962,ILPS2
sc-ldoor,massive,79892,80020.7,ILPS3
sc-ldoor,massive,66770,66846,MAE-PB
sc-msdoor,massive,22163,22192.2,GRASP+PC
sc-msdoor,massive,22801,22840.9,MEMETIC
sc-msdoor,massive,21169,21542.3,drMIDS
sc-msdoor,massive,21437,21484.2,ILPS2
sc-msdoor,massive,20912,20939.4,ILPS3
sc-msdoor,massive,21481,21517.8,MAE-PB
sc-pwtk,massive,6030,6046.4,GRASP+PC
sc-pwtk,massive,6360,6389.7,MEMETIC
sc-pwtk,massive,4959,5065.2,drMIDS
sc-pwtk,massive,5099,5126.8,ILPS2
sc-pwtk,massive,5133,5164.1,ILPS3
sc-pwtk,massive,4475,4528,MAE-PB
sc-rel9,massive,259632,260231.6,GRASP+PC
sc-rel9,massive,4237296,4262802,MEMETIC
sc-rel9,massive,2110005,4090520.2,drMIDS
sc-rel9,massive,5379337,5388189.8,ILPS2
sc-rel9,massive,5382628,5392480.1,ILPS3
sc-rel9,massive,241046,241947,MAE-PB
sc-shipsec1,massive,12563,12594.7,GRASP+PC
sc-shipsec1,massive,13580,13659.1,MEMETIC
sc-shipsec1,massive,10834,11022.9,drMIDS
sc-shipsec1,massive,10083,10120.5,ILPS2
sc-shipsec1,massive,9696,9743.6,ILPS3
sc-shipsec1,massive,10392,10443.8,MAE-PB
sc-shipsec5,massive,16791,16816.3,GRASP+PC
sc-shipsec5,massive,17606,17695.6,MEMETIC
sc-shipsec5,massive,14918,15161.4,drMIDS
sc-shipsec5,massive,14178,14297.3,ILPS2
sc-shipsec5,massive,13733,13796.5,ILPS3
sc-shipsec5,massive,14533,14586.8,MAE-PB
socfb-A-anon,massive,1669228,1674202.7,GRASP+PC
socfb-A-anon,massive,2319836,2323819.5,MEMETIC
socfb-A-anon,massive,2141665,2278578.5,drMIDS
socfb-A-anon,massive,2483752,2486549.9,ILPS2
socfb-A-anon,massive,2497057,2499903,ILPS3
socfb-A-anon,massive,1337702,1338843.8,MAE-PB
socfb-B-anon,massive,1606632,1613011.3,GRASP+PC
socfb-B-anon,massive,2271052,2276031.7,MEMETIC
socfb-B-anon,massive,2056992,2225046.4,drMIDS
socfb-B-anon,massive,2428580,2431129.6,ILPS2
socfb-B-anon,massive,2438709,2441440.2,ILPS3
socfb-B-anon,massive,1248897,1249610.4,MAE-PB
socfb-uci-uni,massive,NA,NA,GRASP+PC
socfb-uci-uni,massive,NA,NA,MEMETIC
socfb-uci-uni,massive,55837483,55860922,drMIDS
socfb-uci-uni,massive,57147925,57154643.7,ILPS2
socfb-uci-uni,massive,57162057,57167604.5,ILPS3
socfb-uci-uni,massive,8879317,8879940.5,MAE-PB
soc-buzznet,massive,16427,41491.8,GRASP+PC
soc-buzznet,massive,48972,60200.2,MEMETIC
soc-buzznet,massive,56933,60608.9,drMIDS
soc-buzznet,massive,2571,2571.7,ILPS2
soc-buzznet,massive,2573,2575.9,ILPS3
soc-buzznet,massive,1078,2463.8,MAE-PB
soc-delicious,massive,257047,260709.1,GRASP+PC
soc-delicious,massive,375432,377337.6,MEMETIC
soc-delicious,massive,229828,244509.8,drMIDS
soc-delicious,massive,410459,411412.9,ILPS2
soc-delicious,massive,400696,401662.7,ILPS3
soc-delicious,massive,213040,213148.9,MAE-PB
soc-digg,massive,464502,469247.5,GRASP+PC
soc-digg,massive,592137,595356.4,MEMETIC
soc-digg,massive,541850,575911.8,drMIDS
soc-digg,massive,620232,622005.9,ILPS2
soc-digg,massive,628060,629787.3,ILPS3
soc-digg,massive,360827,361056.8,MAE-PB
soc-dogster,massive,178127,187041.5,GRASP+PC
soc-dogster,massive,218847,222195.1,MEMETIC
soc-dogster,massive,212787,220116.4,drMIDS
soc-dogster,massive,236456,236952.1,ILPS2
soc-dogster,massive,246708,247404.2,ILPS3
soc-dogster,massive,147137,147220.1,MAE-PB
soc-flickr,massive,238561,239177.3,GRASP+PC
soc-flickr,massive,285952,286537.5,MEMETIC
soc-flickr,massive,228393,231800.9,drMIDS
soc-flickr,massive,315535,316061.4,ILPS2
soc-flickr,massive,329196,329659.9,ILPS3
soc-flickr,massive,225706,225986.8,MAE-PB
soc-flickr-und,massive,757567,759852.7,GRASP+PC
soc-flickr-und,massive,962166,963430.1,MEMETIC
soc-flickr-und,massive,793220,847844.7,drMIDS
soc-flickr-und,massive,1094213,1094930.9,ILPS2
soc-flickr-und,massive,1133992,1134654,ILPS3
soc-flickr-und,massive,712106,712459.5,MAE-PB
soc-flixster,massive,1797967,1804468.4,GRASP+PC
soc-flixster,massive,2283393,2289703.9,MEMETIC
soc-flixster,massive,2112006,2242842.7,drMIDS
soc-flixster,massive,2349351,2355308.1,ILPS2
soc-flixster,massive,2351118,2357745.3,ILPS3
soc-flixster,massive,1446495,1447358.9,MAE-PB
soc-FourSquare,massive,261585,263522.1,GRASP+PC
soc-FourSquare,massive,421911,423272.6,MEMETIC
soc-FourSquare,massive,309284,343367.9,drMIDS
soc-FourSquare,massive,497910,499487.8,ILPS2
soc-FourSquare,massive,492209,493759.3,ILPS3
soc-FourSquare,massive,254246,263147,MAE-PB
soc-lastfm,massive,711394,715802.3,GRASP+PC
soc-lastfm,massive,991546,994550.3,MEMETIC
soc-lastfm,massive,808133,919647.7,drMIDS
soc-lastfm,massive,1049636,1055349.3,ILPS2
soc-lastfm,massive,1045676,1051463,ILPS3
soc-lastfm,massive,606769,623970.3,MAE-PB
soc-livejournal,massive,1556556,1557169.2,GRASP+PC
soc-livejournal,massive,1701200,1702474.8,MEMETIC
soc-livejournal,massive,1569372,1610680.8,drMIDS
soc-livejournal,massive,1763810,1764824.7,ILPS2
soc-livejournal,massive,1888537,1889859.7,ILPS3
soc-livejournal,massive,1457679,1458202,MAE-PB
soc-livejournal-user-groups,massive,NA,NA,GRASP+PC
soc-livejournal-user-groups,massive,NA,NA,MEMETIC
soc-livejournal-user-groups,massive,NA,NA,drMIDS
soc-livejournal-user-groups,massive,NA,NA,ILPS2
soc-livejournal-user-groups,massive,NA,NA,ILPS3
soc-livejournal-user-groups,massive,3935557,3963727.7,MAE-PB
soc-LiveMocha,massive,27818,29799.8,GRASP+PC
soc-LiveMocha,massive,46246,47163.3,MEMETIC
soc-LiveMocha,massive,25173,27104.9,drMIDS
soc-LiveMocha,massive,19308,19326.2,ILPS2
soc-LiveMocha,massive,19286,19312.7,ILPS3
soc-LiveMocha,massive,19164,19393.4,MAE-PB
soc-ljournal-2008,massive,2178908,2180256.8,GRASP+PC
soc-ljournal-2008,massive,2392237,2393624.1,MEMETIC
soc-ljournal-2008,massive,2245160,2304426.9,drMIDS
soc-ljournal-2008,massive,2471838,2472824.1,ILPS2
soc-ljournal-2008,massive,2625367,2627141.1,ILPS3
soc-ljournal-2008,massive,2017074,2017617.9,MAE-PB
soc-orkut,massive,487314,490131.8,GRASP+PC
soc-orkut,massive,547962,548734.1,MEMETIC
soc-orkut,massive,511063,523932,drMIDS
soc-orkut,massive,571977,571977,ILPS2
soc-orkut,massive,NA,NA,ILPS3
soc-orkut,massive,420253,420702.4,MAE-PB
soc-orkut-dir,massive,496889,498147.2,GRASP+PC
soc-orkut-dir,massive,558154,559021.8,MEMETIC
soc-orkut-dir,massive,528996,537980.2,drMIDS
soc-orkut-dir,massive,NA,NA,ILPS2
soc-orkut-dir,massive,NA,NA,ILPS3
soc-orkut-dir,massive,422147,422761,MAE-PB
soc-pokec,massive,479023,479918.3,GRASP+PC
soc-pokec,massive,541129,541790.1,MEMETIC
soc-pokec,massive,460459,473097.7,drMIDS
soc-pokec,massive,579862,580476.3,ILPS2
soc-pokec,massive,624805,625335.8,ILPS3
soc-pokec,massive,444054,444497.7,MAE-PB
soc-sinaweibo,massive,NA,NA,GRASP+PC
soc-sinaweibo,massive,NA,NA,MEMETIC
soc-sinaweibo,massive,NA,NA,drMIDS
soc-sinaweibo,massive,58189158,58189158,ILPS2
soc-sinaweibo,massive,NA,NA,ILPS3
soc-sinaweibo,massive,41348112,41348903.3,MAE-PB
soc-twitter-higgs,massive,136308,148028.7,GRASP+PC
soc-twitter-higgs,massive,187727,197706.7,MEMETIC
soc-twitter-higgs,massive,194853,199584.3,drMIDS
soc-twitter-higgs,massive,64645,64781.9,ILPS2
soc-twitter-higgs,massive,64783,64838.1,ILPS3
soc-twitter-higgs,massive,64637,64689.4,MAE-PB
soc-youtube,massive,249474,252195.9,GRASP+PC
soc-youtube,massive,291048,294687.6,MEMETIC
soc-youtube,massive,249714,263709.5,drMIDS
soc-youtube,massive,305632,306098.5,ILPS2
soc-youtube,massive,321759,322149.3,ILPS3
soc-youtube,massive,210109,210181.5,MAE-PB
soc-youtube-snap,massive,621236,628307.3,GRASP+PC
soc-youtube-snap,massive,734256,736466.4,MEMETIC
soc-youtube-snap,massive,668462,696936.7,drMIDS
soc-youtube-snap,massive,771399,772205.9,ILPS2
soc-youtube-snap,massive,801033,801966.7,ILPS3
soc-youtube-snap,massive,516764,516956.6,MAE-PB
tech-as-skitter,massive,504141,507896.5,GRASP+PC
tech-as-skitter,massive,807360,813966.7,MEMETIC
tech-as-skitter,massive,700698,790524.5,drMIDS
tech-as-skitter,massive,999796,1001816.8,ILPS2
tech-as-skitter,massive,1044493,1046569,ILPS3
tech-as-skitter,massive,425378,425765.9,MAE-PB
tech-ip,massive,NA,NA,GRASP+PC
tech-ip,massive,NA,NA,MEMETIC
tech-ip,massive,NA,NA,drMIDS
tech-ip,massive,34033,34164.6,ILPS2
tech-ip,massive,34033,34164.6,ILPS3
tech-ip,massive,33944,34067,MAE-PB
twitter_mpi,massive,NA,NA,GRASP+PC
twitter_mpi,massive,NA,NA,MEMETIC
twitter_mpi,massive,NA,NA,drMIDS
twitter_mpi,massive,8636449,8647646.9,ILPS2
twitter_mpi,massive,8674533,8687284.6,ILPS3
twitter_mpi,massive,5517459,5518646.9,MAE-PB
web-arabic-2005,massive,29252,29478.1,GRASP+PC
web-arabic-2005,massive,35100,35346.4,MEMETIC
web-arabic-2005,massive,25884,26176.7,drMIDS
web-arabic-2005,massive,26039,26233.0,ILPS2
web-arabic-2005,massive,25745,25951.4,ILPS3
web-arabic-2005,massive,24497,25286.2,MAE-PB
web-baidu-baike,massive,1041922,1097314.7,GRASP+PC
web-baidu-baike,massive,1281323,1281990.2,MEMETIC
web-baidu-baike,massive,1279905,1285277.7,drMIDS
web-baidu-baike,massive,1339271,1340662.7,ILPS2
web-baidu-baike,massive,1388596,1389907.3,ILPS3
web-baidu-baike,massive,892104,892318.7,MAE-PB
web-it-2004,massive,67874,68537.2,GRASP+PC
web-it-2004,massive,80077,80201.2,MEMETIC
web-it-2004,massive,62662,64220.9,drMIDS
web-it-2004,massive,82375,83130.1,ILPS2
web-it-2004,massive,67453,67454.5,ILPS3
web-it-2004,massive,57896,60208.1,MAE-PB
web-uk-2005,massive,1723,1726,GRASP+PC
web-uk-2005,massive,1728,1729.6,MEMETIC
web-uk-2005,massive,1429,1432.5,drMIDS
web-uk-2005,massive,1452,1530.4,ILPS2
web-uk-2005,massive,1452,1528,ILPS3
web-uk-2005,massive,1427,1427,MAE-PB
web-wikipedia_link,massive,NA,NA,GRASP+PC
web-wikipedia_link,massive,NA,NA,MEMETIC
web-wikipedia_link,massive,NA,NA,drMIDS
web-wikipedia_link,massive,1795791,1797987.3,ILPS2
web-wikipedia_link,massive,1843338,1845944.2,ILPS3
web-wikipedia_link,massive,620531,620718,MAE-PB
web-wikipedia2009,massive,735795,737294.9,GRASP+PC
web-wikipedia2009,massive,916510,918149.8,MEMETIC
web-wikipedia2009,massive,707187,761818.2,drMIDS
web-wikipedia2009,massive,1032499,1033213,ILPS2
web-wikipedia2009,massive,1097804,1098647.3,ILPS3
web-wikipedia2009,massive,682229,682709.1,MAE-PB
web-wikipedia-growth,massive,558570,563152.9,GRASP+PC
web-wikipedia-growth,massive,690694,696448.4,MEMETIC
web-wikipedia-growth,massive,700384,703726.3,drMIDS
web-wikipedia-growth,massive,773754,774938.2,ILPS2
web-wikipedia-growth,massive,833111,834491.2,ILPS3
web-wikipedia-growth,massive,446746,446931,MAE-PB
wikipedia_link_en,massive,24832213,24891236.9,GRASP+PC
wikipedia_link_en,massive,26251560,26489886.4,MEMETIC
wikipedia_link_en,massive,26441864,26526564.8,drMIDS
wikipedia_link_en,massive,26674651,26679001.5,ILPS2
wikipedia_link_en,massive,26682855,26687149.9,ILPS3
wikipedia_link_en,massive,24841764,24901940.4,MAE-PB
