8; 58 149 200 201 398 543 591 675 ; 525
12; 102 134 143 148 182 296 313 474 545 622 637 653 ; 500
11; 74 116 180 264 315 317 357 498 502 577 657 ; 530
10; 2 92 120 305 493 561 565 643 648 667 ; 507
16; 23 90 122 210 329 377 389 405 419 482 494 498 586 617 633 659 ; 508
9; 33 141 176 206 276 297 504 575 663 ; 509
11; 143 206 272 282 304 421 471 526 592 612 696 ; 477
8; 45 58 149 201 249 329 461 548 ; 499
13; 11 55 109 121 146 241 325 404 414 476 531 547 657 ; 521
14; 105 233 315 381 405 449 458 472 476 484 570 626 679 682 ; 544
