14; 11 17 20 62 67 72 101 114 119 125 143 153 171 186 ; 15
14; 11 32 53 64 75 77 79 87 98 109 119 130 140 169 ; 14
14; 5 25 32 45 56 90 96 109 111 113 122 138 140 198 ; 14
15; 9 51 92 97 107 117 122 127 132 139 141 174 184 186 189 ; 14
16; 11 25 27 33 39 51 72 118 120 148 164 167 169 171 178 189 ; 14
15; 2 9 11 63 73 87 103 128 134 143 152 155 168 182 200 ; 16
14; 2 30 42 64 74 92 119 159 161 169 172 181 183 200 ; 17
15; 2 13 41 74 92 95 98 101 104 108 121 143 154 156 200 ; 15
16; 10 23 25 42 58 86 93 102 104 106 118 125 128 151 183 185 ; 15
14; 23 31 39 52 55 58 73 103 119 159 161 174 181 190 ; 14
