14; 162 168 465 475 617 646 740 824 941 1170 1302 1324 1355 1368 ; 4575
17; 146 318 558 607 664 688 731 766 797 932 1018 1032 1171 1245 1253 1334 1490 ; 4760
13; 28 188 227 231 270 417 464 849 997 1098 1152 1304 1360 ; 4473
13; 249 316 319 489 579 599 829 1205 1231 1245 1255 1330 1354 ; 4612
13; 48 56 98 115 223 535 812 901 1021 1180 1182 1217 1440 ; 4699
12; 227 244 267 278 291 453 529 546 679 1006 1152 1486 ; 4394
13; 231 319 515 518 802 877 908 937 942 981 1143 1328 1342 ; 4593
16; 191 197 394 398 417 431 518 770 1010 1174 1206 1216 1310 1328 1329 1394 ; 4401
12; 8 35 106 132 332 430 440 476 505 987 1270 1473 ; 4816
16; 29 66 252 318 333 431 574 684 702 739 858 908 1142 1245 1267 1475 ; 4564
