instances,time_avg_ms,time_std_ms
C1000.9,1.3363183766666666,0.04414496169277229
C125.9,0.03484071666666667,0.015349125065687832
C2000.5,3.1185979766666665,0.23733625576208386
C2000.9,5.392831986666667,0.20047454070998075
C250.9,0.10303386333333332,0.026541833527672466
C4000.5,12.217185853333332,0.6137598105754354
C500.9,0.365767,0.04886884084331206
DSJC1000.5,0.75801016,0.03901653337523855
DSJC500.5,0.2220354566666667,0.040922367516838885
MANN_a27,0.24628029333333334,0.04474337747847533
MANN_a45,1.68324242,0.17449661754495
MANN_a81,16.924058603333336,1.2776355174458907
MANN_a9,0.015729776666666667,0.0021286344642846102
brock200_2,0.04888901333333333,0.021080384189781306
brock200_4,0.06705775666666666,0.02652206718721657
brock400_2,0.20841963333333333,0.03739044208441264
brock400_4,0.22320893333333333,0.03882403399828809
brock800_2,0.6357439666666667,0.06253276832836681
brock800_4,0.6298573633333333,0.05552668934640402
c-fat200-1,0.023916450000000002,0.003997951842678862
c-fat200-2,0.02802722,0.014956942334636954
c-fat200-5,0.038633556666666666,0.011689520792858798
c-fat500-1,0.05722753333333333,0.026892787448968586
c-fat500-2,0.05771254666666667,0.02331154373242539
c-fat500-5,0.09854014666666668,0.02827498466702512
frb100-40,22.37100056,1.1376520501417018
frb30-15-1,0.28226960333333334,0.031373071291293894
frb30-15-2,0.2832352166666666,0.034104964713327274
frb30-15-3,0.28000046666666667,0.03499980308416856
frb30-15-4,0.29154893,0.04009735456997691
frb30-15-5,0.2761951966666667,0.047519214287873965
frb35-17-1,0.4644786166666667,0.050234353100299535
frb35-17-2,0.46564756,0.04929332851678675
frb35-17-3,0.45503357,0.030664082444934796
frb35-17-4,0.47543162333333333,0.05983956845635863
frb35-17-5,0.48999387,0.053001874561606224
frb40-19-1,0.7578134,0.06949740767650604
frb40-19-2,0.7472383266666667,0.06346861191073754
frb40-19-3,0.7792583866666667,0.11014394812545968
frb40-19-4,0.7361835200000001,0.05823641447384309
frb40-19-5,0.7512703566666666,0.08767559552468832
frb45-21-1,1.20006682,0.09458087737714178
frb45-21-2,1.1957992466666667,0.07881133491595602
frb45-21-3,1.2261577033333333,0.08897803310185892
frb45-21-4,1.2154095766666666,0.08943560190728524
frb45-21-5,1.2458036433333335,0.14225677058400948
frb50-23-1,1.80703735,0.15188007000954398
frb50-23-2,1.8352597766666667,0.2371151169129629
frb50-23-3,1.7493637000000002,0.1015650574510708
frb50-23-4,1.7293258566666665,0.029519599118407857
frb50-23-5,1.7722784433333334,0.1457154984423738
frb53-24-1,2.15821563,0.14510251638040236
frb53-24-2,2.1258057866666666,0.10525815810523205
frb53-24-3,2.1323773,0.13231026870101117
frb53-24-4,2.1745039866666667,0.15502621963753532
frb53-24-5,2.1742374166666667,0.20053274227802695
frb56-25-1,2.5667907999999997,0.1351641673150074
frb56-25-2,2.5655068266666667,0.08485408358073379
frb56-25-3,2.612050883333333,0.19638605072075213
frb56-25-4,2.6195044866666666,0.22924221614918613
frb56-25-5,2.5576126633333334,0.04443601898352809
frb59-26-1,3.151396423333334,0.2638485999182507
frb59-26-2,3.19720926,0.2949384282658618
frb59-26-3,3.22856494,0.3027675516857076
frb59-26-4,3.1344927533333333,0.2042376238032362
frb59-26-5,3.21418103,0.2994664649862889
gen200_p0.9_44,0.07954791333333334,0.028003539631178565
gen200_p0.9_55,0.08262343333333334,0.029595838349374376
gen400_p0.9_55,0.24912389333333335,0.03217746243429241
gen400_p0.9_65,0.24762334,0.03634736215239911
gen400_p0.9_75,0.26487325666666667,0.04251649148518063
hamming10-4,1.3526350133333334,0.19075015406638823
hamming6-2,0.01815776666666667,0.0023498375649412865
hamming6-4,0.01700937333333333,0.0013022350539806907
hamming8-2,0.11739811,0.03328022239120147
hamming8-4,0.09246571666666667,0.030091561406745237
johnson16-2-4,0.027367206666666668,0.0029489729709514636
johnson32-2-4,0.3468279866666667,0.039093424238590774
johnson8-2-4,0.013563576666666665,0.0010841967898365839
johnson8-4-4,0.020191610000000002,0.004475950363222819
keller4,0.05382869,0.030870144763211278
keller5,0.6845993266666667,0.05424333401000203
keller6,14.2772939,1.9746949253963417
p_hat1500-1,0.9179759033333333,0.07106804360269682
p_hat1500-2,1.7888173366666666,0.20160745335027785
p_hat1500-3,2.61059802,0.2760247350117194
p_hat300-1,0.06772602666666667,0.030492542102674915
p_hat300-2,0.08765329333333334,0.023799004160286484
p_hat300-3,0.12967451,0.03461114456906808
p_hat700-1,0.22876233666666668,0.030485662258923633
p_hat700-2,0.39545081,0.036241568972671855
p_hat700-3,0.5618775833333334,0.041397513421860994
san1000,0.7631376166666667,0.04469049214132521
san200_0.7_1,0.06224080333333333,0.022659552879060834
san200_0.7_2,0.07423019333333333,0.03155708917078788
san200_0.9_1,0.07682383,0.025922516189973027
san200_0.9_2,0.08173233666666667,0.03052653978350849
san200_0.9_3,0.0847812,0.03304127961654362
san400_0.5_1,0.15626182,0.030110603239223405
san400_0.7_1,0.20517777666666667,0.0318719718067478
san400_0.7_2,0.19857985666666667,0.03199917504599016
san400_0.7_3,0.20861684666666666,0.030281300278847786
