instance,dataset,avg,method,lbs,ardp,log_ratio
brock200_2,dimacs,5,GREEDY,2,150,0.9162907318741551
brock200_4,dimacs,6.3,GRASP,2,215,1.1474024528375417
brock200_4,dimacs,6,MEMETIC,2,200,1.0986122886681098
brock200_4,dimacs,6,drMIDS,2,200,1.0986122886681098
brock200_4,dimacs,6,ILPS2,2,200,1.0986122886681098
brock200_4,dimacs,6,ILPS3,2,200,1.0986122886681098
brock200_4,dimacs,6,MAE,2,200,1.0986122886681098
brock200_4,dimacs,4.666666666666667,GREEDY,2,133.33333333333334,0.8472978603872037
brock400_2,dimacs,10,GRASP,2,400,1.6094379124341003
brock400_2,dimacs,9.3,MEMETIC,2,365.00000000000006,1.536867219599265
brock400_2,dimacs,9,drMIDS,2,350,1.5040773967762742
brock400_2,dimacs,10,ILPS2,2,400,1.6094379124341003
brock400_2,dimacs,10,ILPS3,2,400,1.6094379124341003
brock400_2,dimacs,9,MAE,2,350,1.5040773967762742
brock400_2,dimacs,4,GREEDY,2,100,0.6931471805599453
brock400_4,dimacs,9.3,GRASP,2,365.00000000000006,1.536867219599265
brock400_4,dimacs,9,MEMETIC,2,350,1.5040773967762742
brock400_4,dimacs,9,drMIDS,2,350,1.5040773967762742
brock400_4,dimacs,9.9,ILPS2,2,395,1.599387576580599
brock400_4,dimacs,10,ILPS3,2,400,1.6094379124341003
brock400_4,dimacs,9,MAE,2,350,1.5040773967762742
brock400_4,dimacs,4,GREEDY,2,100,0.6931471805599453
brock800_2,dimacs,8.2,GRASP,2,309.99999999999994,1.410986973710262
brock800_2,dimacs,8.1,MEMETIC,2,305,1.3987168811184478
brock800_2,dimacs,8,drMIDS,2,300,1.3862943611198906
brock800_2,dimacs,8.7,ILPS2,2,334.99999999999994,1.4701758451005926
brock800_2,dimacs,8.9,ILPS3,2,345,1.4929040961781488
brock800_2,dimacs,8,MAE,2,300,1.3862943611198906
brock800_2,dimacs,6,GREEDY,2,200,1.0986122886681098
brock800_4,dimacs,8.2,GRASP,2,309.99999999999994,1.410986973710262
brock800_4,dimacs,8,MEMETIC,2,300,1.3862943611198906
brock800_4,dimacs,8,drMIDS,2,300,1.3862943611198906
brock800_4,dimacs,8.5,ILPS2,2,325,1.4469189829363254
brock800_4,dimacs,8.8,ILPS3,2,340.00000000000006,1.4816045409242156
brock800_4,dimacs,8,MAE,2,300,1.3862943611198906
brock800_4,dimacs,5.566666666666666,GREEDY,2,178.33333333333331,1.0236492501946544
c-fat200-1,dimacs,13,GRASP,12,8.333333333333332,0.08004270767353636
c-fat200-1,dimacs,13,MEMETIC,12,8.333333333333332,0.08004270767353636
c-fat200-1,dimacs,13,drMIDS,12,8.333333333333332,0.08004270767353636
c-fat200-1,dimacs,13,ILPS2,12,8.333333333333332,0.08004270767353636
c-fat200-1,dimacs,13,ILPS3,12,8.333333333333332,0.08004270767353636
c-fat200-1,dimacs,13,MAE,12,8.333333333333332,0.08004270767353636
c-fat200-1,dimacs,14.533333333333333,GREEDY,12,21.11111111111111,0.19153821189887857
c-fat200-2,dimacs,6,GRASP,6,0,0
c-fat200-2,dimacs,6,MEMETIC,6,0,0
c-fat200-2,dimacs,6,drMIDS,6,0,0
c-fat200-2,dimacs,6,ILPS2,6,0,0
c-fat200-2,dimacs,6,ILPS3,6,0,0
c-fat200-2,dimacs,6,MAE,6,0,0
c-fat200-2,dimacs,7.333333333333333,GREEDY,6,22.222222222222218,0.20067069546215105
c-fat200-5,dimacs,3,GRASP,3,0,0
c-fat200-5,dimacs,3,MEMETIC,3,0,0
c-fat200-5,dimacs,3,drMIDS,3,0,0
c-fat200-5,dimacs,3,ILPS2,3,0,0
c-fat200-5,dimacs,3,ILPS3,3,0,0
c-fat200-5,dimacs,3,MAE,3,0,0
c-fat200-5,dimacs,3,GREEDY,3,0,0
c-fat500-1,dimacs,27,GRASP,24,12.5,0.11778303565638346
c-fat500-1,dimacs,27,MEMETIC,24,12.5,0.11778303565638346
c-fat500-1,dimacs,27,drMIDS,24,12.5,0.11778303565638346
c-fat500-1,dimacs,27,ILPS2,24,12.5,0.11778303565638346
c-fat500-1,dimacs,27,ILPS3,24,12.5,0.11778303565638346
c-fat500-1,dimacs,27,MAE,24,12.5,0.11778303565638346
c-fat500-1,dimacs,31.9,GREEDY,24,32.91666666666666,0.2845521794428532
c-fat500-2,dimacs,14,GRASP,13,7.6923076923076925,0.074107972153721835
c-fat500-2,dimacs,14,MEMETIC,13,7.6923076923076925,0.074107972153721835
c-fat500-2,dimacs,14,drMIDS,13,7.6923076923076925,0.074107972153721835
c-fat500-2,dimacs,14,ILPS2,13,7.6923076923076925,0.074107972153721835
c-fat500-2,dimacs,14,ILPS3,13,7.6923076923076925,0.074107972153721835
c-fat500-2,dimacs,14,MAE,13,7.6923076923076925,0.074107972153721835
c-fat500-2,dimacs,15.6,GREEDY,13,20,0.1823215567939546
c-fat500-5,dimacs,6,GRASP,6,0,0
c-fat500-5,dimacs,6,MEMETIC,6,0,0
c-fat500-5,dimacs,6,drMIDS,6,0,0
c-fat500-5,dimacs,6,ILPS2,6,0,0
c-fat500-5,dimacs,6,ILPS3,6,0,0
c-fat500-5,dimacs,6,MAE,6,0,0
c-fat500-5,dimacs,6.166666666666667,GREEDY,6,2.777777777777783,0.02739897418811456
frb100-40,bhoslib,44.8,GRASP,2,2140,3.109060958860994
frb100-40,bhoslib,49.5,MEMETIC,2,2375,3.2088254890146994
frb100-40,bhoslib,44.4,drMIDS,2,2120,3.100092288878234
frb100-40,bhoslib,44.5,ILPS2,2,2125,3.1023420086122493
frb100-40,bhoslib,45.3,ILPS3,2,2165,3.120159851929043
frb100-40,bhoslib,43.4,MAE,2,2070,3.077312260546414
frb100-40,bhoslib,5,GREEDY,2,150,0.9162907318741551
frb30-15-1,bhoslib,11,GRASP,2,450,1.7047480922384253
frb30-15-1,bhoslib,11,MEMETIC,2,450,1.7047480922384253
frb30-15-1,bhoslib,11,drMIDS,2,450,1.7047480922384253
frb30-15-1,bhoslib,11.2,ILPS2,2,459.99999999999994,1.7227665977411035
frb30-15-1,bhoslib,11.7,ILPS3,2,484.99999999999994,1.766441661243765
frb30-15-1,bhoslib,11,MAE,2,450,1.7047480922384253
frb30-15-1,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb30-15-2,bhoslib,11.4,GRASP,2,470,1.7404661748405046
frb30-15-2,bhoslib,11.1,MEMETIC,2,455,1.713797927758343
frb30-15-2,bhoslib,11,drMIDS,2,450,1.7047480922384253
frb30-15-2,bhoslib,11.7,ILPS2,2,484.99999999999994,1.766441661243765
frb30-15-2,bhoslib,11.9,ILPS3,2,495,1.7833912195575383
frb30-15-2,bhoslib,11,MAE,2,450,1.7047480922384253
frb30-15-2,bhoslib,3,GREEDY,2,50,0.4054651081081644
frb30-15-3,bhoslib,12,GRASP,2,500,1.791759469228055
frb30-15-3,bhoslib,11.2,MEMETIC,2,459.99999999999994,1.7227665977411035
frb30-15-3,bhoslib,11,drMIDS,2,450,1.7047480922384253
frb30-15-3,bhoslib,11.9,ILPS2,2,495,1.7833912195575383
frb30-15-3,bhoslib,11.9,ILPS3,2,495,1.7833912195575383
frb30-15-3,bhoslib,11,MAE,2,450,1.7047480922384253
frb30-15-3,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb30-15-4,bhoslib,12,GRASP,2,500,1.791759469228055
frb30-15-4,bhoslib,11,MEMETIC,2,450,1.7047480922384253
frb30-15-4,bhoslib,11,drMIDS,2,450,1.7047480922384253
frb30-15-4,bhoslib,11.2,ILPS2,2,459.99999999999994,1.7227665977411035
frb30-15-4,bhoslib,11.7,ILPS3,2,484.99999999999994,1.766441661243765
frb30-15-4,bhoslib,11,MAE,2,450,1.7047480922384253
frb30-15-4,bhoslib,3,GREEDY,2,50,0.4054651081081644
frb30-15-5,bhoslib,11.2,GRASP,2,459.99999999999994,1.7227665977411035
frb30-15-5,bhoslib,11.3,MEMETIC,2,465.00000000000006,1.7316555451583497
