instances,times
san200-0-7-2,0.0896449089050293
frb45-21-2,1.17785787582397
san200-0-9-3,0.092322826385498
c-fat500-1,0.0627732276916504
frb35-17-1,0.502546072006226
san200-0-9-1,0.12808895111084
p-hat300-2,0.0921669006347656
p-hat1500-3,2.47281694412231
frb40-19-1,0.755945920944214
gen400-p0-9-75,0.264725923538208
frb45-21-2,1.14412117004395
C250-9,0.144369125366211
frb35-17-3,0.469992160797119
brock200-2,0.107444047927856
frb35-17-4,0.502809047698975
frb45-21-2,1.13342213630676
frb45-21-1,1.14499020576477
brock400-4,0.24249005317688
DSJC1000-5,0.858027935028076
MANN-a27,0.363777875900269
frb45-21-2,1.14586687088013
MANN-a81,15.8602161407471
san400-0-7-2,0.191080093383789
frb30-15-3,0.524626970291138
frb59-26-2,3.17734694480896
MANN-a81,15.7630209922791
C125-9,0.0515239238739014
p-hat300-1,0.0677309036254883
p-hat1500-3,2.41596412658691
san200-0-9-2,0.0794548988342285
p-hat1500-1,0.935026884078979
gen400-p0-9-75,0.262208938598633
frb45-21-3,1.18531179428101
gen200-p0-9-55,0.117743968963623
san1000,0.779834985733032
brock200-4,0.0699570178985596
hamming10-4,1.26728010177612
frb40-19-3,0.757961988449097
frb50-23-5,1.69954180717468
frb45-21-4,1.14273118972778
keller6,13.2520730495453
c-fat500-2,0.0723249912261963
san400-0-7-2,0.220134973526001
c-fat500-5,0.103470802307129
frb30-15-2,0.297664880752563
hamming10-4,1.27358293533325
brock400-4,0.236674070358276
hamming8-4,0.0909030437469482
frb50-23-2,1.71333384513855
p-hat1500-3,2.41715288162231
brock200-2,0.0636799335479736
frb45-21-4,1.171138048172
frb50-23-5,1.67132902145386
johnson8-2-4,0.0278840065002441
frb40-19-3,0.755563974380493
brock200-4,0.0550360679626465
C2000-9,5.137610912323
frb50-23-5,1.7755401134491
gen400-p0-9-65,0.262625932693481
keller5,0.68474817276001
frb40-19-3,0.752087116241455
brock800-2,0.693737030029297
san400-0-7-3,0.197885990142822
frb100-40,21.3958349227905
C250-9,0.106627941131592
C2000-5,3.07128190994263
hamming6-4,0.0359208583831787
C2000-5,2.91048383712769
c-fat200-5,0.0599701404571533
c-fat200-2,0.0933001041412354
hamming10-4,1.30611991882324
DSJC1000-5,0.765701770782471
c-fat200-1,0.0880510807037354
brock400-2,0.25405216217041
brock200-2,0.0521957874298096
p-hat300-3,0.130711078643799
hamming6-2,0.0747997760772705
san400-0-5-1,0.155155897140503
MANN-a45,1.55286192893982
hamming6-2,0.0226240158081055
frb35-17-4,0.474624156951904
frb40-19-5,0.753324031829834
c-fat500-2,0.0543429851531982
frb40-19-1,0.749511957168579
frb53-24-2,2.21492910385132
brock800-4,0.704807043075562
p-hat1500-3,2.42497491836548
brock800-4,0.642083883285522
frb35-17-4,0.48170804977417
c-fat500-5,0.141263008117676
C250-9,0.0997121334075928
brock400-4,0.233578205108643
hamming6-4,0.0221080780029297
brock800-4,0.655293941497803
DSJC1000-5,0.769128084182739
frb40-19-5,0.795184850692749
san400-0-7-1,0.266442060470581
frb35-17-2,0.48349404335022
gen200-p0-9-55,0.0722448825836182
p-hat300-3,0.191606044769287
san400-0-5-1,0.183022022247314
hamming10-4,1.26420307159424
frb50-23-2,1.67866992950439
C125-9,0.0446131229400635
p-hat300-2,0.0932068824768066
san200-0-9-3,0.0722870826721191
johnson32-2-4,0.410395860671997
frb45-21-4,1.13494396209717
frb100-40,21.3615329265594
frb45-21-1,1.31119608879089
p-hat700-2,0.448234081268311
frb40-19-3,0.754696130752563
p-hat700-2,0.407148838043213
p-hat1500-2,1.66978096961975
p-hat1500-1,1.10668706893921
gen400-p0-9-55,0.47802996635437
gen200-p0-9-44,0.080380916595459
frb40-19-4,0.794220924377441
MANN-a81,16.0783100128174
p-hat300-1,0.0573880672454834
frb40-19-2,0.791830778121948
c-fat200-2,0.0330560207366943
frb30-15-4,0.304648160934448
frb100-40,21.6410870552063
c-fat200-2,0.0390520095825195
san200-0-9-1,0.0819101333618164
frb59-26-5,3.15736198425293
frb53-24-2,2.04719400405884
MANN-a27,0.262193918228149
p-hat1500-2,1.69807600975037
gen400-p0-9-75,0.264730930328369
frb59-26-3,3.07632422447205
gen400-p0-9-55,0.270145893096924
p-hat1500-1,0.886276006698608
MANN-a81,15.763267993927
frb35-17-5,0.485221862792969
C1000-9,1.39763593673706
frb50-23-1,1.68494987487793
frb35-17-4,0.480902910232544
san200-0-7-2,0.0693128108978271
p-hat700-2,0.415278911590576
p-hat300-3,0.116307020187378
frb35-17-3,0.475003957748413
p-hat1500-3,2.98440217971802
frb59-26-2,3.05354595184326
frb59-26-1,3.02550315856934
hamming8-2,0.121516942977905
johnson8-2-4,0.296444892883301
frb59-26-2,3.08333516120911
frb30-15-4,0.300081968307495
frb30-15-4,0.29756498336792
san200-0-9-2,0.0827200412750244
frb40-19-5,0.826308012008667
brock400-2,0.235238075256348
san200-0-9-3,0.117516994476318
C1000-9,1.31257700920105
hamming8-4,0.0810279846191406
gen200-p0-9-55,0.0778179168701172
frb30-15-2,0.307456970214844
frb35-17-3,0.477108001708984
p-hat1500-2,1.73739886283875
keller6,13.5818390846252
frb40-19-3,0.894865989685059
C125-9,0.0408840179443359
san200-0-7-1,0.0771842002868652
brock200-4,0.0600409507751465
frb53-24-4,2.10803985595703
johnson16-2-4,0.0447719097137451
hamming6-4,0.0286118984222412
DSJC500-5,0.369513988494873
san400-0-7-1,0.177911996841431
C500-9,0.388306856155396
p-hat300-1,0.0956659317016602
c-fat500-1,0.0565969944000244
brock800-2,0.659827947616577
DSJC500-5,0.26485800743103
frb35-17-4,0.477792978286743
keller4,0.0605950355529785
MANN-a27,0.271636009216309
C500-9,0.384146928787231
frb50-23-1,1.7145299911499
MANN-a27,0.287497043609619
san200-0-7-1,0.0722708702087402
C2000-9,5.17780804634094
frb35-17-1,0.486001014709473
frb35-17-1,0.483367919921875
frb40-19-5,0.754338979721069
frb50-23-1,1.68659496307373
frb40-19-2,0.751862049102783
frb45-21-1,1.1302661895752
keller6,13.3452348709106
gen200-p0-9-55,0.145015954971313
p-hat1500-2,1.68858098983765
hamming6-2,0.0186598300933838
frb30-15-1,0.298298120498657
san400-0-7-3,0.220734119415283
frb40-19-2,0.75407600402832
frb35-17-2,0.476216077804565
hamming6-2,0.021629810333252
C250-9,0.408026933670044
frb45-21-2,1.14531397819519
frb53-24-3,2.11539506912231
MANN-a45,1.53745102882385
frb53-24-1,2.08190703392029
