instances,datasets,random_numbers,solutions,iters,times
frb30-15-4,bhoslib,596,3,3,255.326102
hamming10-4,dimacs,597,8,8,1217.471401
brock800_4,dimacs,598,6,4,578.432701
san200_0.9_2,dimacs,599,2,2,65.762701
san400_0.7_2,dimacs,600,4,4,166.252202
frb50-23-1,bhoslib,601,7,3,1658.239701
hamming8-2,dimacs,602,2,2,100.343901
frb45-21-5,bhoslib,603,4,4,1043.459202
frb53-24-1,bhoslib,604,4,3,1918.795001
brock200_2,dimacs,605,5,5,46.265001
frb40-19-3,bhoslib,606,5,3,718.4206
frb53-24-5,bhoslib,607,4,3,1924.531401
p_hat1500-3,dimacs,608,5,4,2314.3412
c-fat200-2,dimacs,609,8,8,32.829001
frb59-26-5,bhoslib,610,4,3,2863.559401
frb50-23-2,bhoslib,611,5,4,1555.813901
frb40-19-5,bhoslib,612,4,3,711.617501
san400_0.7_1,dimacs,613,4,3,176.594501
san400_0.7_3,dimacs,614,5,4,164.966901
p_hat1500-3,dimacs,615,4,4,2361.630301
gen400_p0.9_75,dimacs,616,2,2,204.315401
brock800_2,dimacs,617,6,4,569.119101
frb45-21-4,bhoslib,618,4,3,1038.409101
johnson32-2-4,dimacs,619,3,3,341.780701
MANN_a81,dimacs,620,2,2,15929.161101
brock400_2,dimacs,621,4,3,216.775001
frb45-21-5,bhoslib,622,4,4,1045.693001
brock800_4,dimacs,623,5,4,623.964001
p_hat1500-3,dimacs,624,5,4,2356.793201
frb35-17-2,bhoslib,625,5,3,409.175402
MANN_a9,dimacs,626,2,2,19.273501
c-fat200-2,dimacs,627,7,7,30.768802
c-fat200-5,dimacs,628,3,3,88.112701
c-fat200-5,dimacs,629,3,3,40.975101
hamming8-4,dimacs,630,8,8,76.388601
gen400_p0.9_75,dimacs,631,2,2,204.029201
frb53-24-4,bhoslib,632,4,4,1962.120401
frb56-25-4,bhoslib,633,4,4,2363.012101
MANN_a81,dimacs,634,2,2,15794.694001
brock200_4,dimacs,635,4,3,53.9309
frb59-26-2,bhoslib,636,4,3,2900.309201
frb50-23-3,bhoslib,637,4,3,1630.795201
frb56-25-3,bhoslib,638,5,4,2380.083301
frb35-17-5,bhoslib,639,5,3,409.3946
frb59-26-4,bhoslib,640,5,3,2878.319501
san200_0.7_1,dimacs,641,3,2,53.122401
frb30-15-3,bhoslib,642,4,3,235.784301
hamming10-4,dimacs,643,8,8,1220.691001
hamming8-2,dimacs,644,2,2,98.985601
c-fat200-1,dimacs,645,15,15,33.997401
p_hat300-1,dimacs,646,15,8,108.073402
brock400_4,dimacs,647,4,3,216.213001
c-fat500-2,dimacs,648,16,16,57.733
frb45-21-5,bhoslib,649,4,4,1039.390401
frb50-23-2,bhoslib,650,4,3,1612.441201
frb59-26-1,bhoslib,651,4,4,2956.300602
p_hat1500-2,dimacs,652,14,9,1595.861801
frb50-23-5,bhoslib,653,3,3,1611.282101
johnson8-4-4,dimacs,654,5,3,22.694401
frb35-17-5,bhoslib,655,5,3,412.418501
frb59-26-1,bhoslib,656,4,4,2885.053502
frb40-19-2,bhoslib,657,4,3,715.2282
gen200_p0.9_44,dimacs,658,2,2,63.637101
hamming8-4,dimacs,659,8,8,118.934301
p_hat1500-1,dimacs,660,21,13,849.945801
hamming8-2,dimacs,661,2,2,98.570001
frb50-23-2,bhoslib,662,5,3,1543.499401
C250.9,dimacs,663,2,2,132.773501
frb53-24-5,bhoslib,664,4,3,1945.092101
hamming8-2,dimacs,665,2,2,98.4405
MANN_a45,dimacs,666,2,2,1477.607201
frb59-26-4,bhoslib,667,5,3,2896.502901
frb50-23-3,bhoslib,668,3,3,1558.209301
gen200_p0.9_44,dimacs,669,2,2,63.798801
frb50-23-5,bhoslib,670,3,3,1557.852801
c-fat200-5,dimacs,671,3,3,40.328301
johnson32-2-4,dimacs,672,3,3,299.079201
frb56-25-2,bhoslib,673,5,3,2378.749601
frb40-19-1,bhoslib,674,4,3,712.399402
brock200_4,dimacs,675,4,3,52.417201
frb56-25-4,bhoslib,676,5,3,2442.493801
hamming8-4,dimacs,677,8,8,77.142301
frb30-15-1,bhoslib,678,4,3,241.1366
frb56-25-1,bhoslib,679,4,4,2411.625701
frb45-21-3,bhoslib,680,5,3,1097.304902
c-fat200-1,dimacs,681,14,14,39.231901
gen200_p0.9_44,dimacs,682,2,2,63.7797
C4000.5,dimacs,683,9,8,11876.105801
hamming6-2,dimacs,684,2,2,22.264401
johnson32-2-4,dimacs,685,3,3,306.057401
MANN_a81,dimacs,686,2,2,16178.239001
p_hat1500-3,dimacs,687,4,4,2368.476001
C4000.5,dimacs,688,9,8,11460.850901
frb53-24-3,bhoslib,689,4,3,1956.473801
C250.9,dimacs,690,2,2,90.162801
p_hat1500-2,dimacs,691,13,9,1603.343501
frb45-21-4,bhoslib,692,4,3,1038.9855
gen400_p0.9_65,dimacs,693,2,2,245.654601
keller6,dimacs,694,4,4,13342.761102
frb56-25-1,bhoslib,695,3,3,2344.794302
c-fat200-1,dimacs,696,15,15,32.1266
frb30-15-4,bhoslib,697,3,3,277.880701
frb59-26-1,bhoslib,698,4,4,2850.875401
C2000.5,dimacs,699,9,7,2795.072201
frb45-21-2,bhoslib,700,8,2,1086.532901
C500.9,dimacs,701,2,2,310.411401
frb59-26-5,bhoslib,702,4,3,2855.510401
frb59-26-5,bhoslib,703,4,3,2853.352302
frb35-17-1,bhoslib,704,4,4,455.276701
p_hat300-1,dimacs,705,15,8,93.815501
frb50-23-3,bhoslib,706,4,3,1610.820001
hamming8-4,dimacs,707,8,8,76.4875
frb30-15-2,bhoslib,708,3,3,235.914301
san200_0.7_1,dimacs,709,3,2,94.604201
p_hat700-3,dimacs,710,4,4,544.487601
c-fat500-5,dimacs,711,7,7,85.900102
frb30-15-2,bhoslib,712,3,3,235.5541
hamming10-4,dimacs,713,8,8,1214.772002
san400_0.5_1,dimacs,714,14,8,127.659601
frb56-25-1,bhoslib,715,4,4,2346.255901
frb45-21-4,bhoslib,716,3,3,1085.709901
frb59-26-1,bhoslib,717,4,4,2846.4533
frb40-19-4,bhoslib,718,5,3,664.9598
brock800_2,dimacs,719,6,4,570.450701
brock200_2,dimacs,720,5,5,45.053701
frb40-19-1,bhoslib,721,4,3,666.966101
C250.9,dimacs,722,2,2,89.19
frb53-24-3,bhoslib,723,5,3,1919.156401
brock200_2,dimacs,724,5,5,45.690402
brock800_2,dimacs,725,6,4,567.844901
frb30-15-5,bhoslib,726,4,3,235.720001
gen200_p0.9_44,dimacs,727,2,2,64.1525
san200_0.9_1,dimacs,728,2,2,64.252501
san200_0.9_2,dimacs,729,2,2,64.056601
brock200_2,dimacs,730,5,5,46.6606
p_hat700-2,dimacs,731,13,5,339.845601
san200_0.9_1,dimacs,732,2,2,65.4252
johnson8-2-4,dimacs,733,3,3,17.993501
hamming10-4,dimacs,734,8,8,1177.196001
brock200_4,dimacs,735,5,3,52.482101
C500.9,dimacs,736,2,2,310.445701
frb35-17-1,bhoslib,737,4,4,410.976601
frb45-21-3,bhoslib,738,3,3,1039.338201
c-fat500-1,dimacs,739,34,34,60.817602
frb59-26-4,bhoslib,740,5,3,2886.98
hamming8-2,dimacs,741,2,2,99.168101
hamming6-4,dimacs,742,8,8,23.918301
p_hat1500-1,dimacs,743,21,13,802.644401
keller4,dimacs,744,4,4,88.886501
keller5,dimacs,745,4,4,661.966801
frb45-21-4,bhoslib,746,3,3,1081.3241
frb30-15-1,bhoslib,747,4,3,237.646901
hamming6-2,dimacs,748,2,2,21.8065
C4000.5,dimacs,749,9,8,11691.221601
frb53-24-1,bhoslib,750,4,3,1915.919101
frb35-17-3,bhoslib,751,3,3,410.039001
frb50-23-4,bhoslib,752,5,3,1568.411402
keller5,dimacs,753,4,4,615.571101
frb40-19-4,bhoslib,754,3,3,666.769602
san200_0.7_1,dimacs,755,4,3,56.011701
san200_0.7_2,dimacs,756,4,3,53.863302
c-fat200-5,dimacs,757,3,3,41.274401
frb53-24-1,bhoslib,758,4,3,1959.105201
frb50-23-1,bhoslib,759,7,3,1592.159501
frb50-23-5,bhoslib,760,3,3,1557.363401
johnson32-2-4,dimacs,761,3,3,342.585602
hamming6-2,dimacs,762,2,2,21.842202
san200_0.9_2,dimacs,763,2,2,63.190402
keller4,dimacs,764,4,4,44.2887
hamming6-2,dimacs,765,2,2,22.143301
hamming6-4,dimacs,766,8,8,23.895501
frb59-26-2,bhoslib,767,4,3,3019.085601
frb56-25-5,bhoslib,768,4,4,2373.789401
frb59-26-2,bhoslib,769,4,3,2865.355401
frb50-23-2,bhoslib,770,6,4,1601.609501
c-fat200-1,dimacs,771,14,14,31.275402
frb30-15-4,bhoslib,772,3,3,277.520801
frb40-19-2,bhoslib,773,5,3,664.679601
frb59-26-2,bhoslib,774,4,3,2898.894501
gen200_p0.9_44,dimacs,775,2,2,105.4546
MANN_a45,dimacs,776,2,2,1475.910101
san1000,dimacs,777,25,17,744.890602
C2000.9,dimacs,778,3,3,4983.3735
MANN_a81,dimacs,779,2,2,15770.503301
frb56-25-3,bhoslib,780,5,4,2348.196702
frb40-19-3,bhoslib,781,5,3,712.953301
frb40-19-5,bhoslib,782,4,3,713.215801
frb56-25-5,bhoslib,783,4,4,2360.7119
gen400_p0.9_65,dimacs,784,2,2,246.242802
frb50-23-2,bhoslib,785,5,4,1553.800102
frb35-17-5,bhoslib,786,5,3,453.365101
frb30-15-3,bhoslib,787,4,3,277.3933
p_hat1500-3,dimacs,788,5,4,2311.446701
gen400_p0.9_75,dimacs,789,2,2,246.969302
c-fat500-1,dimacs,790,33,33,59.230802
san400_0.7_2,dimacs,791,4,4,164.418
frb53-24-4,bhoslib,792,3,3,1914.316802
frb50-23-1,bhoslib,793,7,3,1555.8703
DSJC1000.5,dimacs,794,8,6,732.2344
frb53-24-5,bhoslib,795,4,3,1915.6807
c-fat200-2,dimacs,796,7,7,30.190901
frb30-15-4,bhoslib,797,3,3,278.099301
gen200_p0.9_55,dimacs,798,2,2,63.678901
frb40-19-5,bhoslib,799,6,3,678.284601
frb45-21-1,bhoslib,800,4,3,1079.426102
frb35-17-2,bhoslib,801,5,3,408.381001
C1000.9,dimacs,802,3,3,1197.696902
p_hat1500-3,dimacs,803,5,4,2346.5766
johnson16-2-4,dimacs,804,3,3,33.289901
johnson8-2-4,dimacs,805,3,3,17.776801
p_hat300-3,dimacs,806,4,3,105.7991
frb45-21-5,bhoslib,807,4,4,1040.165901
gen400_p0.9_55,dimacs,808,2,2,247.0017
frb45-21-4,bhoslib,809,4,3,1036.948001
MANN_a27,dimacs,810,2,2,243.143101
san1000,dimacs,811,25,18,697.707701
p_hat700-3,dimacs,812,4,4,550.2206
san400_0.5_1,dimacs,813,15,8,128.0081
p_hat300-1,dimacs,814,15,8,51.466602
frb50-23-5,bhoslib,815,3,3,1541.844602
p_hat300-2,dimacs,816,10,5,120.328701
brock400_2,dimacs,817,4,3,225.231501
p_hat700-2,dimacs,818,13,5,340.507201
frb56-25-1,bhoslib,819,3,3,2335.554601
frb53-24-4,bhoslib,820,3,3,1956.756101
keller5,dimacs,821,4,4,620.191602
frb53-24-3,bhoslib,822,5,3,1909.328201
hamming6-2,dimacs,823,2,2,21.828501
frb100-40,bhoslib,824,5,3,21325.912401
san400_0.5_1,dimacs,825,13,9,128.486801
brock200_2,dimacs,826,5,5,45.750002
p_hat700-3,dimacs,827,4,4,498.237401
hamming6-2,dimacs,828,2,2,21.931601
frb59-26-2,bhoslib,829,4,3,2895.7047
DSJC500.5,dimacs,830,6,5,185.816401
C1000.9,dimacs,831,3,3,1213.263101
frb45-21-2,bhoslib,832,8,2,1099.332701
hamming8-2,dimacs,833,2,2,98.315201
frb50-23-2,bhoslib,834,5,4,1552.341501
frb45-21-1,bhoslib,835,4,3,1079.606601
DSJC1000.5,dimacs,836,8,6,688.019602
san200_0.9_3,dimacs,837,2,2,108.273002
C2000.5,dimacs,838,8,8,2841.781602
c-fat200-5,dimacs,839,3,3,41.010402
MANN_a45,dimacs,840,2,2,1442.103502
C500.9,dimacs,841,2,2,311.149901
frb40-19-4,bhoslib,842,5,3,715.046901
johnson16-2-4,dimacs,843,3,3,32.593501
keller5,dimacs,844,4,4,613.075401
gen400_p0.9_55,dimacs,845,2,2,205.007801
san200_0.7_1,dimacs,846,4,3,95.873001
frb56-25-4,bhoslib,847,4,4,2409.536901
MANN_a27,dimacs,848,2,2,201.376702
frb53-24-3,bhoslib,849,4,3,1952.5363
c-fat500-2,dimacs,850,15,15,56.753701
C2000.9,dimacs,851,3,3,4964.579001
frb40-19-3,bhoslib,852,5,3,666.333301
gen400_p0.9_65,dimacs,853,2,2,248.628501
frb53-24-1,bhoslib,854,4,3,1922.720901
san200_0.7_2,dimacs,855,4,3,96.297701
frb56-25-3,bhoslib,856,5,4,2403.119501
hamming6-4,dimacs,857,8,8,24.594101
frb56-25-1,bhoslib,858,3,3,2365.0436
san400_0.7_1,dimacs,859,4,3,206.228901
frb53-24-3,bhoslib,860,4,3,1954.695501
C2000.9,dimacs,861,3,3,5022.197601
brock200_2,dimacs,862,5,5,88.673901
brock400_2,dimacs,863,4,3,216.353001
frb30-15-2,bhoslib,864,3,3,247.627402
hamming8-4,dimacs,865,8,8,76.5853
frb35-17-2,bhoslib,866,4,4,457.966901
hamming8-4,dimacs,867,8,8,77.2578
C1000.9,dimacs,868,3,3,1205.897901
C4000.5,dimacs,869,9,8,11676.3238
frb53-24-3,bhoslib,870,4,3,1914.683001
frb35-17-3,bhoslib,871,3,3,407.899401
frb45-21-3,bhoslib,872,5,3,1041.268801
brock800_2,dimacs,873,6,4,614.831101
MANN_a81,dimacs,874,2,2,15919.1302
san400_0.7_3,dimacs,875,5,4,165.071801
frb100-40,bhoslib,876,5,3,21109.140501
frb59-26-4,bhoslib,877,5,3,2854.214601
frb40-19-1,bhoslib,878,4,3,668.0386
san1000,dimacs,879,26,15,695.625101
gen400_p0.9_65,dimacs,880,2,2,252.551701
p_hat700-1,dimacs,881,15,13,200.005901
johnson8-4-4,dimacs,882,5,3,22.422401
MANN_a9,dimacs,883,2,2,19.728301
frb35-17-1,bhoslib,884,4,4,412.1577
frb35-17-4,bhoslib,885,4,3,423.5052
p_hat300-2,dimacs,886,9,6,77.355202
p_hat300-2,dimacs,887,10,5,78.083301
frb45-21-1,bhoslib,888,4,3,1041.202202
gen400_p0.9_55,dimacs,889,2,2,204.467701
san200_0.9_1,dimacs,890,2,2,64.099601
frb40-19-3,bhoslib,891,5,3,668.876001
p_hat700-2,dimacs,892,13,5,387.110901
johnson8-2-4,dimacs,893,3,3,18.120501
frb56-25-4,bhoslib,894,4,4,2361.072701
frb53-24-2,bhoslib,895,4,3,1945.274402
p_hat300-2,dimacs,896,10,5,76.835201
frb53-24-4,bhoslib,897,4,4,1915.537301
frb53-24-4,bhoslib,898,3,3,1919.617901
san400_0.5_1,dimacs,899,15,8,128.108401
frb45-21-4,bhoslib,900,3,3,1039.695601
frb56-25-5,bhoslib,901,4,4,2408.9424
frb45-21-2,bhoslib,902,8,2,1038.4027
DSJC1000.5,dimacs,903,8,6,747.609401
san200_0.7_2,dimacs,904,4,3,55.264501
frb53-24-3,bhoslib,905,4,3,1919.1299
frb35-17-2,bhoslib,906,5,3,457.088902
frb35-17-4,bhoslib,907,4,3,407.537001
brock400_2,dimacs,908,4,3,174.858401
frb59-26-3,bhoslib,909,4,3,2888.502501
p_hat300-3,dimacs,910,4,3,104.419901
san400_0.5_1,dimacs,911,14,8,139.797801
san400_0.7_3,dimacs,912,6,4,165.006701
san1000,dimacs,913,26,15,739.339401
johnson8-2-4,dimacs,914,3,3,17.811601
frb35-17-1,bhoslib,915,4,4,409.777201
hamming8-4,dimacs,916,8,8,75.3458
DSJC500.5,dimacs,917,6,6,186.105201
DSJC1000.5,dimacs,918,8,6,736.322302
hamming6-4,dimacs,919,8,8,24.399701
frb56-25-3,bhoslib,920,4,4,2364.8102
p_hat300-1,dimacs,921,15,8,51.474801
c-fat500-2,dimacs,922,15,15,57.206901
hamming8-4,dimacs,923,8,8,76.711702
frb45-21-2,bhoslib,924,8,2,1038.124301
p_hat300-3,dimacs,925,4,3,104.470401
johnson8-2-4,dimacs,926,3,3,18.805901
C2000.9,dimacs,927,3,3,5004.4277
brock200_2,dimacs,928,5,5,46.898501
frb30-15-4,bhoslib,929,3,3,240.723401
frb30-15-3,bhoslib,930,4,3,236.206501
frb59-26-3,bhoslib,931,4,3,2886.469601
frb35-17-2,bhoslib,932,4,4,457.660101
C500.9,dimacs,933,2,2,319.3496
frb59-26-1,bhoslib,934,4,4,2850.115101
brock200_2,dimacs,935,5,5,45.302501
frb100-40,bhoslib,936,5,3,21420.4673
keller6,dimacs,937,4,4,12806.497201
hamming10-4,dimacs,938,8,8,1177.097001
frb56-25-5,bhoslib,939,4,4,2343.398901
frb53-24-5,bhoslib,940,4,3,1958.681301
C250.9,dimacs,941,2,2,131.629
c-fat500-1,dimacs,942,32,32,57.883002
C2000.5,dimacs,943,9,7,2831.163802
frb56-25-1,bhoslib,944,4,4,2406.203201
c-fat200-2,dimacs,945,7,7,30.335501
san200_0.9_1,dimacs,946,2,2,63.633801
brock400_2,dimacs,947,4,3,217.449701
frb59-26-1,bhoslib,948,4,4,2870.829501
frb53-24-2,bhoslib,949,4,3,1961.363902
C125.9,dimacs,950,2,2,35.1187
san200_0.7_2,dimacs,951,4,3,53.397401
frb100-40,bhoslib,952,5,3,21753.987301
frb56-25-1,bhoslib,953,4,4,2357.554701
p_hat300-1,dimacs,954,14,10,95.5268
brock400_4,dimacs,955,4,3,217.111102
frb50-23-2,bhoslib,956,4,4,1554.841702
C2000.9,dimacs,957,3,3,4977.183701
frb53-24-3,bhoslib,958,4,3,1963.632401
frb40-19-4,bhoslib,959,3,3,666.041401
frb45-21-1,bhoslib,960,4,3,1056.170501
c-fat500-1,dimacs,961,30,30,56.210501
MANN_a45,dimacs,962,2,2,1430.949101
frb45-21-1,bhoslib,963,4,3,1042.9208
johnson32-2-4,dimacs,964,3,3,302.423201
frb53-24-1,bhoslib,965,4,3,1950.869601
p_hat700-3,dimacs,966,4,4,544.850801
san200_0.9_1,dimacs,967,2,2,62.816401
frb50-23-2,bhoslib,968,5,4,1570.422002
p_hat300-2,dimacs,969,10,5,76.0862
san1000,dimacs,970,26,15,740.883901
brock200_4,dimacs,971,5,3,51.779201
brock200_2,dimacs,972,5,5,87.727201
frb40-19-5,bhoslib,973,6,3,714.505602
frb56-25-2,bhoslib,974,5,3,2361.211101
johnson8-4-4,dimacs,975,5,3,22.758501
c-fat500-1,dimacs,976,32,32,58.460801
frb35-17-5,bhoslib,977,5,3,408.461701
brock400_2,dimacs,978,4,3,174.824501
johnson8-2-4,dimacs,979,3,3,17.988401
frb50-23-5,bhoslib,980,3,3,1550.671301
p_hat1500-1,dimacs,981,19,14,852.5555
frb40-19-3,bhoslib,982,5,3,716.779901
p_hat1500-2,dimacs,983,11,10,1592.874901
p_hat1500-3,dimacs,984,5,4,2319.922401
C2000.9,dimacs,985,3,3,5119.869502
frb45-21-4,bhoslib,986,3,3,1039.344901
frb40-19-2,bhoslib,987,4,3,724.5066
c-fat500-2,dimacs,988,16,16,103.824101
frb100-40,bhoslib,989,5,3,21442.450701
p_hat700-1,dimacs,990,20,13,195.831201
hamming8-4,dimacs,991,8,8,75.9156
c-fat200-2,dimacs,992,7,7,31.5363
san200_0.7_2,dimacs,993,4,3,96.833402
frb59-26-5,bhoslib,994,4,3,2898.656902
frb59-26-4,bhoslib,995,5,3,2848.506501
johnson32-2-4,dimacs,996,3,3,298.5661
frb35-17-4,bhoslib,997,4,3,409.194601
frb35-17-1,bhoslib,998,4,4,410.196701
c-fat200-1,dimacs,999,14,14,32.443401
gen200_p0.9_44,dimacs,1000,2,2,76.373501
p_hat1500-2,dimacs,1001,12,10,1551.791001
frb56-25-1,bhoslib,1002,3,3,2396.2495
c-fat500-5,dimacs,1003,6,6,85.066801
frb45-21-1,bhoslib,1004,4,3,1041.327801
frb50-23-5,bhoslib,1005,3,3,1599.356401
frb56-25-4,bhoslib,1006,5,3,2363.185801
frb56-25-5,bhoslib,1007,4,4,2403.040501
frb35-17-4,bhoslib,1008,4,3,408.152801
johnson8-4-4,dimacs,1009,5,3,21.898701
c-fat200-5,dimacs,1010,3,3,40.312501
p_hat300-1,dimacs,1011,15,8,51.290601
frb53-24-5,bhoslib,1012,4,3,1958.813701
p_hat300-3,dimacs,1013,4,3,148.415201
frb59-26-3,bhoslib,1014,4,3,2921.040402
c-fat500-1,dimacs,1015,30,30,57.228601
frb50-23-1,bhoslib,1016,7,3,1562.757901
C250.9,dimacs,1017,2,2,89.589901
C125.9,dimacs,1018,2,2,35.435302
brock800_2,dimacs,1019,6,4,573.090901
c-fat200-2,dimacs,1020,8,8,31.838
san400_0.7_2,dimacs,1021,4,4,164.551502
frb59-26-2,bhoslib,1022,4,3,2852.305002
p_hat300-2,dimacs,1023,10,5,76.338001
johnson8-2-4,dimacs,1024,3,3,18.412801
C500.9,dimacs,1025,2,2,310.394201
frb40-19-2,bhoslib,1026,4,3,668.0542
frb30-15-1,bhoslib,1027,4,3,234.496501
frb59-26-1,bhoslib,1028,4,4,2865.303702
c-fat500-1,dimacs,1029,31,31,57.472901
gen400_p0.9_55,dimacs,1030,2,2,203.939602
p_hat700-3,dimacs,1031,4,4,558.175801
c-fat200-1,dimacs,1032,14,14,33.353302
hamming10-4,dimacs,1033,8,8,1176.864901
c-fat200-1,dimacs,1034,15,15,32.246201
p_hat1500-3,dimacs,1035,4,4,2307.236501
hamming8-4,dimacs,1036,8,8,76.102101
gen200_p0.9_55,dimacs,1037,2,2,62.912801
frb100-40,bhoslib,1038,5,3,21430.518501
C500.9,dimacs,1039,2,2,311.173101
frb53-24-5,bhoslib,1040,4,3,1946.7082
C125.9,dimacs,1041,2,2,35.077101
frb59-26-4,bhoslib,1042,5,3,2853.365101
frb100-40,bhoslib,1043,5,3,21439.290601
frb59-26-4,bhoslib,1044,5,3,2827.1051
johnson8-2-4,dimacs,1045,3,3,19.129102
frb30-15-5,bhoslib,1046,5,2,234.022601
frb40-19-4,bhoslib,1047,3,3,714.208101
C2000.9,dimacs,1048,3,3,5124.6349
san400_0.7_2,dimacs,1049,4,4,207.163202
frb59-26-5,bhoslib,1050,4,3,2857.306501
hamming6-2,dimacs,1051,2,2,22.321301
frb53-24-4,bhoslib,1052,3,3,1934.111201
frb40-19-2,bhoslib,1053,4,3,668.330601
keller6,dimacs,1054,4,4,13305.267201
DSJC1000.5,dimacs,1055,8,6,683.347302
gen200_p0.9_55,dimacs,1056,2,2,63.834201
DSJC1000.5,dimacs,1057,8,6,689.8988
san400_0.7_2,dimacs,1058,4,4,165.638901
p_hat300-3,dimacs,1059,4,3,118.898901
frb50-23-2,bhoslib,1060,4,3,1594.822201
C2000.9,dimacs,1061,3,3,4994.267702
brock200_2,dimacs,1062,5,5,46.440601
keller4,dimacs,1063,4,4,43.9907
brock200_2,dimacs,1064,5,5,47.249301
C4000.5,dimacs,1065,9,8,11685.239501
hamming8-2,dimacs,1066,2,2,112.7089
frb30-15-1,bhoslib,1067,4,3,234.874901
p_hat300-1,dimacs,1068,14,10,53.340701
san200_0.7_2,dimacs,1069,4,3,54.0612
brock400_2,dimacs,1070,4,3,174.598401
hamming6-4,dimacs,1071,8,8,23.401701
frb45-21-3,bhoslib,1072,5,3,1039.325201
frb35-17-1,bhoslib,1073,4,4,454.406601
DSJC1000.5,dimacs,1074,8,6,688.367401
C2000.9,dimacs,1075,3,3,5009.076301
frb40-19-4,bhoslib,1076,3,3,713.5404
frb53-24-1,bhoslib,1077,4,3,1962.308801
frb35-17-1,bhoslib,1078,4,4,456.950702
keller6,dimacs,1079,4,4,13519.127601
frb56-25-4,bhoslib,1080,4,4,2348.991302
san400_0.7_1,dimacs,1081,4,3,207.173302
keller6,dimacs,1082,4,4,13066.4299
c-fat500-5,dimacs,1083,6,6,84.1694
san400_0.7_3,dimacs,1084,6,4,164.893102
johnson8-4-4,dimacs,1085,5,3,23.4864
brock800_4,dimacs,1086,5,4,570.599202
brock800_2,dimacs,1087,6,4,617.328801
gen200_p0.9_55,dimacs,1088,2,2,107.140602
gen200_p0.9_55,dimacs,1089,2,2,104.823502
frb35-17-5,bhoslib,1090,5,3,455.842901
C500.9,dimacs,1091,2,2,311.198302
c-fat200-1,dimacs,1092,14,14,31.499
p_hat700-2,dimacs,1093,13,5,337.522701
hamming6-2,dimacs,1094,2,2,22.359401
brock800_2,dimacs,1095,6,4,572.702701
gen200_p0.9_44,dimacs,1096,2,2,63.448401
C125.9,dimacs,1097,2,2,34.526601
frb45-21-2,bhoslib,1098,8,2,1082.154301
hamming6-2,dimacs,1099,2,2,21.605902
frb56-25-1,bhoslib,1100,4,4,2358.307401
frb59-26-2,bhoslib,1101,4,3,2901.285701
gen400_p0.9_65,dimacs,1102,2,2,204.396101
gen200_p0.9_44,dimacs,1103,2,2,63.143301
gen400_p0.9_75,dimacs,1104,2,2,204.4932
C1000.9,dimacs,1105,3,3,1275.688101
c-fat500-5,dimacs,1106,6,6,84.906101
p_hat1500-1,dimacs,1107,19,14,809.734701
frb45-21-5,bhoslib,1108,4,4,1089.324201
c-fat500-2,dimacs,1109,15,15,56.4247
frb59-26-2,bhoslib,1110,4,3,2857.621801
johnson8-4-4,dimacs,1111,5,3,21.9587
san200_0.9_2,dimacs,1112,2,2,63.939801
san400_0.7_1,dimacs,1113,4,3,164.681501
MANN_a9,dimacs,1114,2,2,19.504601
frb30-15-2,bhoslib,1115,3,3,235.374701
c-fat500-2,dimacs,1116,15,15,102.198401
frb45-21-4,bhoslib,1117,4,3,1082.167301
c-fat200-5,dimacs,1118,3,3,40.642401
frb30-15-2,bhoslib,1119,3,3,235.966001
p_hat1500-2,dimacs,1120,13,9,1600.409801
MANN_a9,dimacs,1121,2,2,20.522202
frb50-23-1,bhoslib,1122,7,3,1582.029202
frb45-21-1,bhoslib,1123,4,3,1083.555401
hamming6-4,dimacs,1124,8,8,24.073501
san400_0.7_2,dimacs,1125,4,4,165.7438
frb35-17-4,bhoslib,1126,4,3,410.498401
c-fat200-2,dimacs,1127,8,8,31.964801
frb40-19-5,bhoslib,1128,6,3,673.997801
san400_0.7_2,dimacs,1129,4,4,177.320901
frb45-21-1,bhoslib,1130,4,3,1083.587801
frb40-19-4,bhoslib,1131,5,3,668.8807
keller4,dimacs,1132,4,4,44.018
c-fat200-1,dimacs,1133,15,15,33.704101
C500.9,dimacs,1134,2,2,312.481301
c-fat200-2,dimacs,1135,7,7,31.752102
c-fat200-5,dimacs,1136,3,3,83.0587
p_hat700-2,dimacs,1137,13,5,383.996701
gen200_p0.9_55,dimacs,1138,2,2,106.203202
C2000.9,dimacs,1139,3,3,5038.750801
keller6,dimacs,1140,4,4,13378.6033
frb53-24-3,bhoslib,1141,5,3,1964.0959
hamming6-4,dimacs,1142,8,8,23.777301
frb30-15-2,bhoslib,1143,3,3,234.472201
frb30-15-4,bhoslib,1144,3,3,279.929701
frb45-21-5,bhoslib,1145,4,4,1054.335901
frb40-19-4,bhoslib,1146,5,3,668.281901
frb59-26-5,bhoslib,1147,4,3,2866.172501
hamming8-2,dimacs,1148,2,2,98.717801
frb30-15-2,bhoslib,1149,3,3,278.134601
frb56-25-4,bhoslib,1150,4,4,2359.878601
san200_0.9_3,dimacs,1151,2,2,106.244701
gen200_p0.9_44,dimacs,1152,2,2,121.405601
brock800_2,dimacs,1153,6,4,615.541501
frb56-25-4,bhoslib,1154,4,4,2403.449301
c-fat500-2,dimacs,1155,15,15,57.2983
p_hat1500-1,dimacs,1156,19,14,805.5777
MANN_a27,dimacs,1157,2,2,245.866002
p_hat700-2,dimacs,1158,13,5,341.368401
san1000,dimacs,1159,26,15,711.4453
