instances,datasets,random_numbers,solutions,iters,times
frb59-26-4,bhoslib,168,5,3,2908.275501
hamming8-2,dimacs,169,2,2,98.647201
DSJC500.5,dimacs,170,6,6,189.576301
san400_0.7_1,dimacs,171,4,3,173.633802
C500.9,dimacs,172,2,2,357.940201
p_hat1500-3,dimacs,173,5,4,2335.108602
c-fat500-1,dimacs,174,32,32,59.039101
brock800_2,dimacs,175,6,4,573.684201
gen200_p0.9_44,dimacs,176,2,2,64.513201
frb35-17-2,bhoslib,177,5,3,410.471801
johnson8-2-4,dimacs,178,3,3,18.561102
keller5,dimacs,179,4,4,613.625902
C500.9,dimacs,180,2,2,311.621401
frb50-23-1,bhoslib,181,7,3,1570.694001
keller5,dimacs,182,4,4,659.579301
san200_0.7_1,dimacs,183,4,3,54.835601
C250.9,dimacs,184,2,2,89.622002
frb30-15-5,bhoslib,185,5,2,277.451501
frb30-15-5,bhoslib,186,5,2,234.901101
frb40-19-5,bhoslib,187,4,3,713.344701
frb53-24-1,bhoslib,188,4,3,1918.295801
frb35-17-5,bhoslib,189,5,3,411.671801
frb40-19-5,bhoslib,190,4,3,667.755602
keller4,dimacs,191,4,4,43.883801
gen400_p0.9_65,dimacs,192,2,2,205.8307
p_hat1500-1,dimacs,193,19,14,867.034101
hamming6-4,dimacs,194,8,8,23.960401
frb30-15-1,bhoslib,195,4,3,236.227901
san400_0.7_3,dimacs,196,5,4,207.453401
frb35-17-5,bhoslib,197,5,3,455.7171
frb50-23-5,bhoslib,198,3,3,1574.6275
hamming6-4,dimacs,199,8,8,24.053201
C4000.5,dimacs,200,9,8,11655.520102
frb45-21-2,bhoslib,201,8,2,1040.173
frb53-24-3,bhoslib,202,5,3,1922.5253
keller6,dimacs,203,4,4,13295.757101
frb50-23-4,bhoslib,204,5,3,1551.865001
san400_0.7_1,dimacs,205,4,3,207.175001
san400_0.7_2,dimacs,206,4,4,165.097001
frb40-19-4,bhoslib,207,5,3,711.882101
frb30-15-3,bhoslib,208,4,3,277.554801
san200_0.9_3,dimacs,209,2,2,63.285101
san400_0.5_1,dimacs,210,14,8,126.815001
hamming8-2,dimacs,211,2,2,98.518402
MANN_a27,dimacs,212,2,2,201.317301
san400_0.5_1,dimacs,213,13,9,170.657901
frb30-15-2,bhoslib,214,3,3,277.284201
c-fat500-1,dimacs,215,32,32,69.576402
frb35-17-3,bhoslib,216,3,3,409.461601
johnson8-2-4,dimacs,217,3,3,17.932601
c-fat500-2,dimacs,218,16,16,58.042001
hamming6-4,dimacs,219,8,8,24.201301
frb56-25-1,bhoslib,220,3,3,2348.597702
san400_0.7_1,dimacs,221,4,3,163.644402
frb35-17-2,bhoslib,222,4,4,454.760702
frb56-25-4,bhoslib,223,5,3,2346.669301
frb35-17-3,bhoslib,224,3,3,411.048101
c-fat500-2,dimacs,225,15,15,56.571701
c-fat200-2,dimacs,226,8,8,31.363601
johnson8-2-4,dimacs,227,3,3,17.949102
keller6,dimacs,228,4,4,13154.708901
C2000.5,dimacs,229,8,8,2773.252601
frb56-25-5,bhoslib,230,4,4,2340.081701
MANN_a81,dimacs,231,2,2,16080.506201
C1000.9,dimacs,232,3,3,1274.4374
c-fat500-5,dimacs,233,6,6,85.187201
frb50-23-1,bhoslib,234,7,3,1599.123001
frb53-24-1,bhoslib,235,4,3,1982.980101
frb35-17-3,bhoslib,236,3,3,429.958501
frb30-15-3,bhoslib,237,4,3,287.417001
p_hat1500-1,dimacs,238,19,14,818.498601
C250.9,dimacs,239,2,2,89.512101
p_hat700-1,dimacs,240,15,13,199.258201
MANN_a45,dimacs,241,2,2,1493.799901
frb30-15-3,bhoslib,242,4,3,279.087001
frb45-21-4,bhoslib,243,4,3,1042.3687
gen200_p0.9_44,dimacs,244,2,2,109.379302
p_hat300-3,dimacs,245,4,3,146.739001
frb35-17-4,bhoslib,246,4,3,455.551701
san200_0.9_2,dimacs,247,2,2,63.631701
frb59-26-2,bhoslib,248,4,3,2891.241601
frb35-17-4,bhoslib,249,4,3,495.8008
frb30-15-2,bhoslib,250,3,3,238.1915
johnson8-2-4,dimacs,251,3,3,18.820302
p_hat300-3,dimacs,252,4,3,105.185902
frb59-26-3,bhoslib,253,4,3,2961.391702
gen400_p0.9_75,dimacs,254,2,2,207.826401
c-fat500-1,dimacs,255,32,32,61.115301
frb45-21-5,bhoslib,256,4,4,1073.522301
c-fat200-1,dimacs,257,14,14,31.636902
johnson32-2-4,dimacs,258,3,3,302.201501
c-fat500-5,dimacs,259,6,6,85.102802
frb40-19-1,bhoslib,260,4,3,667.5636
frb30-15-2,bhoslib,261,3,3,235.997601
frb59-26-1,bhoslib,262,4,4,2965.613502
C2000.5,dimacs,263,8,8,2854.095
c-fat200-2,dimacs,264,7,7,29.507101
MANN_a9,dimacs,265,2,2,18.909401
san400_0.7_3,dimacs,266,5,4,164.80880199999999
brock800_2,dimacs,267,6,4,617.5528
c-fat500-2,dimacs,268,15,15,72.2517
c-fat500-2,dimacs,269,18,18,59.3144
